Agent,mean,stddev,size,mod
Random,-2698,993,22,noscenario
Random,-4817,282,55,noscenario
Random,-4114,673,60,noscenario
Random,-3188,480,22,compromise
Random,-3768,722,55,compromise
Random,-4010,721,60,compromise
Random,-3444,560,22,isolate
Random,-4014,1124,55,isolate
Random,-3901,520,60,isolate
Random,-2900,735,22,mix
Random,-4746,406,55,mix
Random,-4270,796,60,mix
Random,-3950,83,22,low_red
Random,-5200,60,55,low_red
Random,-5270,66,60,low_red
Random,-1090,290,22,high_red
Random,-2473,500,55,high_red
Random,-2466,190,60,high_red
